election_year,GEOID,median_hh_income,pct_college,pct_black,pct_hispanic,pct_renter,vap,pct_18_29
2012,17031381700,0,,,,,0,
2012,17031800100,250001,0.8740875912408759,0.0,0.0115696104897801,0.0528846153846153,1783,0.0786733513305052
2012,17031980000,0,,,,,0,
2012,17031980100,0,,,,,0,
2012,17031990000,0,,,,,0,
2012,17031823705,47972,0.2188947205927755,0.0340276345638276,0.1470406269333883,0.3528358208955224,3604,0.1425036089915446
2012,17031110200,56327,0.3267006015733457,0.0245276764998342,0.1140205502154458,0.4677152317880794,2374,0.1312562147828969
2012,17031826901,20072,0.1072874493927125,0.9138695376820772,0.0728309056364787,0.5584958217270195,1212,0.1830272324255858
2012,17031071700,120938,0.7989337395277989,0.1384445670159955,0.0827357970215113,0.4123989218328841,1411,0.193050193050193
2012,17031817500,31319,0.1232407759604412,0.7496803886474047,0.193812324213756,0.586406362979031,2906,0.1603170544617745
2012,17031817900,51327,0.2095425479586817,0.6979204669828529,0.0859175483400219,0.3966725043782837,4419,0.1351696461145567
2012,17031812900,82302,0.718318502608162,0.1355965852690093,0.0440738534842167,0.3317073170731707,3508,0.099265435775263
2012,17031020301,49332,0.5025936599423632,0.0534453139912197,0.067188394731819,0.2946247464503043,3796,0.0876121397213208
2012,17031826303,51025,0.2753460531238309,0.9185446009389672,0.0044600938967136,0.1941885187810063,3110,0.1453051643192488
2012,17031160300,40367,0.354515050167224,0.1694609233943771,0.2409079184936806,0.689598238855256,3279,0.2096982202734073
2012,17031050700,127222,0.7781155015197568,0.0085567598402738,0.0467769537934968,0.3502824858757062,1461,0.2144894466628636
2012,17031824113,98025,0.3979394719896973,0.0082333240301423,0.1258721741557354,0.0122006326253953,5329,0.1301981579681831
2012,17031671400,26364,0.0474368783473603,0.9619098712446352,0.0380901287553648,0.4306569343065693,1522,0.1963519313304721
2012,17031805112,49321,0.3224508050089445,0.00339328130302,0.0967085171360705,0.3629096722621902,2422,0.1398031896844248
2012,17031812302,103250,0.6870109546165885,0.1521739130434782,0.0666199158485273,0.2629399585921325,2115,0.126227208976157
2012,17031804607,97444,0.4290692906929069,0.0215429403202328,0.0327510917030567,0.1150332225913621,5472,0.1384279475982532
2012,17031828601,84074,0.4217207334273625,0.1362740266140956,0.0820601281419418,0.1286472148541114,3196,0.1271562345983242
2012,17031070700,120875,0.7753201396973225,0.0042681395932714,0.1659553100677881,0.4722730042656916,3034,0.2490584986191313
2012,17031813100,80304,0.6160912258473235,0.3717441133569493,0.0810585538653886,0.3842671194114318,3641,0.1571160658470514
2012,17031060800,72258,0.7808988764044944,0.0522727272727272,0.0433884297520661,0.4639242572641201,4490,0.3148760330578512
2012,17031200300,40163,0.0645424836601307,0.0,0.9250312369845898,0.6708268330733229,1673,0.2582257392753019
2012,17031812400,171000,0.8357324301439458,0.1005633802816901,0.0264788732394366,0.1401326699834162,2552,0.1169014084507042
2012,17031280100,104296,0.8469984062333983,0.0393930104230533,0.062385039852851,0.595243932336357,6165,0.3531575720416922
2012,17031812802,63611,0.7215253386853989,0.1061555473645411,0.1481754515296719,0.5678571428571428,2038,0.1109472908219683
2012,17031813302,42232,0.0508395522388059,0.0466595970307529,0.9167550371155886,0.5966209081309398,2460,0.1922057264050901
2012,17031808100,46488,0.2711598746081505,0.0526463963963963,0.0993806306306306,0.168162776780371,3339,0.0729166666666666
2012,17031411100,100250,0.9144271570014144,0.0605520926090828,0.0218165627782724,0.490301724137931,1888,0.2804986642920748
2012,17031190702,41563,0.0883038987004331,0.0516699410609037,0.7884086444007858,0.6315401621223287,3635,0.2031434184675835
2012,17031809000,134375,0.7769284225156359,0.031700288184438,0.0160902977905859,0.2351421188630491,3024,0.047550432276657
2012,17031381400,38462,0.2013487475915221,0.9971363115693012,0.0028636884306987,0.6394984326018809,1268,0.2743413516609393
2012,17031090200,83561,0.4266967397990568,0.0182641273805807,0.0711832656884171,0.2666168782673637,5142,0.1442397752107399
2012,17031804902,82452,0.3740246664988673,0.0001738223535546,0.1423605075612724,0.0858768753233316,4535,0.1329741004693203
2012,17031230900,35935,0.2513268810490165,0.2892337536372454,0.5516973811833171,0.7272237196765499,3720,0.1877788554801163
2012,17031580502,37162,0.0775086505190311,0.0185979971387696,0.8381361128142244,0.4473270440251572,3532,0.2078479460453709
2012,17031350100,45659,0.6104468219005664,0.5615887380593263,0.0326797385620915,0.9939353099730458,1890,0.3232780291603821
