election_year,precinct_id,Ward,Precinct,registered_voters,ballots_cast,turnout_rate,median_hh_income,pct_college,pct_black,pct_hispanic,pct_renter,pct_18_29,vap,registration_rate
2008,01001,1,1,835,545,0.6526946107784432,43037.47379590729,0.36276815994957257,0.05142378564294813,0.43467942957379935,0.7300715476545925,0.27271702358888716,3177.5961946353696,0.2627772532613498
2008,01002,1,2,825,585,0.7090909090909091,65371.86205175067,0.6232799542097596,0.0791109407907612,0.2647646443199652,0.5486645745231866,0.312275720643181,3224.5754137446497,0.25584763702019925
2008,01003,1,3,587,465,0.7921635434412265,69757.53187405565,0.6659805707302634,0.03306030218184047,0.1582607886922015,0.5980507613361403,0.37141423380190136,3321.1247374449667,0.17674735109515802
2008,01004,1,4,678,483,0.7123893805309734,70602.89443736532,0.6643060506927729,0.038264601733912114,0.15750530793972337,0.5929039865019619,0.3707629487920899,3357.86407623104,0.20191406936310716
2008,01005,1,5,796,617,0.7751256281407035,80482.51211887099,0.7139120970729899,0.08639741113092228,0.158418472000783,0.6032075279316137,0.36038989271961724,4022.592188850717,0.1978823511382154
2008,01006,1,6,646,468,0.7244582043343654,50969.26251594807,0.5816605111569298,0.01841831798858535,0.33173658854109606,0.5339461256188021,0.25679046492581403,1632.9971609021609,0.39559162469279047
2008,01007,1,7,707,478,0.6760961810466761,64100.32959040788,0.45940798372444724,0.03116209545052255,0.42494543454025524,0.4814012401339564,0.20590116630183355,2149.946237251795,0.32884543238799063
2008,01008,1,8,752,560,0.7446808510638298,82042.17561315664,0.7058570102261711,0.06821281960845656,0.1789293640373035,0.5803847377398427,0.35254648202217603,3561.9771270184037,0.21111870547845735
2008,01009,1,9,578,405,0.7006920415224913,40015.89356679176,0.2651053591434052,0.034911705010522334,0.5065467793927364,0.7561918484516617,0.3457738816042449,2697.768354222053,0.21425116025822613
2008,01010,1,10,792,606,0.7651515151515151,80928.00996104444,0.7151789937055385,0.08742445814787711,0.15654628620098684,0.6008026700977482,0.3580964199793872,4037.9956958074335,0.1961369104039207
2008,01011,1,11,591,439,0.7428087986463621,70104.38582645317,0.49036131729702126,0.022781931587540608,0.4799123353621013,0.48568929202369177,0.28888144220355555,1825.1051418345905,0.32381696070722177
2008,01012,1,12,821,683,0.8319123020706456,97919.51292223077,0.7500471058435252,0.12183741974325189,0.11752732649102501,0.4560595512712945,0.3631682252419246,1981.0462794800994,0.4144274712327574
2008,01013,1,13,858,596,0.6946386946386947,39624.22995447726,0.21895264817548518,0.027672723690545614,0.7522021604816165,0.7340925003088966,0.3039538491776332,2254.0438014033566,0.3806492134118305
2008,01014,1,14,599,458,0.7646076794657763,65898.57890950864,0.5983055538663506,0.07401358056296457,0.24915463504712218,0.6054942761129284,0.35726958293332317,1803.6429115674064,0.3321056491605955
2008,01015,1,15,624,373,0.5977564102564102,40851.80764604968,0.3834682259615728,0.08647020397861081,0.4189629433298578,0.689551601322186,0.29510279740065576,3545.9379422988955,0.1759760069561312
2008,01016,1,16,308,204,0.6623376623376623,77079.16636884947,0.725101655182889,0.08453393691901642,0.11496687232208949,0.4364273310262349,0.2971907520665404,2284.650937639379,0.13481271686879295
2008,01017,1,17,562,431,0.7669039145907474,80927.11866044422,0.7151725063889609,0.08751428083304198,0.15650146189323141,0.6007906145469685,0.35802102008467396,4036.3356321346073,0.13923520024591898
2008,01018,1,18,640,461,0.7203125,38676.83614036558,0.4040367805754559,0.12134272620214791,0.40333931095052117,0.649253733584114,0.31734312592802205,3911.7841131691735,0.16360821085330735
2008,01019,1,19,492,324,0.6585365853658537,52130.84848723978,0.3233757989717446,0.023880124548612592,0.5379234826420413,0.39551283421680755,0.20452691238323675,2230.4271327673205,0.22058555187569345
2008,01020,1,20,671,506,0.7540983606557377,39999.946708264826,0.2649615966253682,0.03491333063381652,0.5066225466791251,0.7562993603693522,0.34584384960603126,2697.936902585706,0.2487085592538924
2008,01021,1,21,555,426,0.7675675675675676,84206.56038706655,0.6870933653646025,0.029577394689181965,0.22405004430894224,0.5400727376697004,0.3420115560714346,2620.9428831334817,0.21175585457111026
2008,01022,1,22,656,412,0.6280487804878049,37513.84817914137,0.31723912345312844,0.05424131405390211,0.6511814442614018,0.6484469656000382,0.24464201858290544,1336.4138225719396,0.4908659196127757
2008,01023,1,23,560,419,0.7482142857142857,75206.43090857085,0.5330205168872271,0.027036753947750007,0.38865991403464156,0.542509299927839,0.2550226828108435,1643.9494709955889,0.3406430732088496
2008,01024,1,24,798,617,0.7731829573934837,69539.85794245351,0.5127347892919742,0.030410545422552757,0.4031388668334249,0.5425369582488324,0.1851758344659258,2178.5911961975075,0.3662917583587144
2008,01025,1,25,645,434,0.6728682170542636,84202.79346165252,0.6870860700035835,0.029584412290850366,0.22407474894617332,0.5400983577633873,0.34205809048666,2621.263149226488,0.24606457394036682
2008,01026,1,26,688,525,0.7630813953488372,60564.07139922978,0.6572461584312911,0.04056266630609077,0.24205090244824254,0.7106885453476257,0.46290523879275813,3333.8812255539838,0.20636608008903393
2008,01027,1,27,564,368,0.6524822695035462,99657.99209615214,0.714550935194904,0.0357034720036777,0.47070547724531187,0.38573521121924104,0.25467999649009987,951.9862718270906,0.5924455180614615
2008,01028,1,28,519,323,0.6223506743737958,74810.81106708215,0.569309098181118,0.17927969582485506,0.1541664219656941,0.4866339825250116,0.22757933393510182,1928.9278619768156,0.269061383906869
2008,01029,1,29,676,515,0.7618343195266272,63305.60768659185,0.49207510918360087,0.0524498663510713,0.5278655131124063,0.5328054014323745,0.29730457462295323,2916.072582465732,0.23181864678704167
