Ward,Precinct,Registered Voters,Ballots Cast,Turnout
1,1,835,545,65.27%
1,2,825,585,70.91%
1,3,587,465,79.22%
1,4,678,483,71.24%
1,5,796,617,77.51%
1,6,646,468,72.45%
1,7,707,478,67.61%
1,8,752,560,74.47%
1,9,578,405,70.07%
1,10,792,606,76.52%
1,11,591,439,74.28%
1,12,821,683,83.19%
1,13,858,596,69.46%
1,14,599,458,76.46%
1,15,624,373,59.78%
1,16,308,204,66.23%
1,17,562,431,76.69%
1,18,640,461,72.03%
1,19,492,324,65.85%
1,20,671,506,75.41%
1,21,555,426,76.76%
1,22,656,412,62.80%
1,23,560,419,74.82%
1,24,798,617,77.32%
1,25,645,434,67.29%
1,26,688,525,76.31%
1,27,564,368,65.25%
1,28,519,323,62.24%
1,29,676,515,76.18%
1,30,912,672,73.68%
1,31,883,740,83.81%
1,32,728,489,67.17%
1,33,722,518,71.75%
1,34,556,375,67.45%
1,35,607,507,83.53%
1,36,721,543,75.31%
1,37,676,464,68.64%
1,38,453,313,69.09%
1,39,744,520,69.89%
1,40,397,250,62.97%
1,41,626,412,65.81%
1,42,602,454,75.42%
1,43,651,408,62.67%
1,44,598,423,70.74%
1,45,764,500,65.45%
1,46,699,520,74.39%
1,47,708,542,76.55%
1,48,450,325,72.22%
1,49,483,364,75.36%
1,50,605,421,69.59%
2,1,1173,993,84.65%
2,2,347,217,62.54%
2,3,1079,745,69.05%
2,4,619,481,77.71%
2,5,734,534,72.75%
2,6,1112,891,80.13%
2,7,618,533,86.25%
2,8,827,685,82.83%
2,9,591,531,89.85%
2,10,488,409,83.81%
2,11,691,613,88.71%
2,12,1153,888,77.02%
2,13,797,587,73.65%
2,14,543,482,88.77%
2,15,416,335,80.53%
2,16,1217,977,80.28%
2,17,665,469,70.53%
2,18,591,492,83.25%
2,19,875,769,87.89%
2,20,675,537,79.56%
2,21,600,477,79.50%
2,22,789,666,84.41%
2,23,468,366,78.21%
2,24,1001,711,71.03%
2,25,974,762,78.23%
2,26,620,521,84.03%
2,27,586,418,71.33%
2,28,693,455,65.66%
2,29,444,319,71.85%
2,30,866,729,84.18%
2,31,572,440,76.92%
2,32,504,388,76.98%
2,33,671,343,51.12%
2,34,508,381,75.00%
2,35,592,233,39.36%
2,36,955,812,85.03%
2,37,538,461,85.69%
2,38,903,809,89.59%
2,39,786,606,77.10%
2,40,1430,1164,81.40%
2,41,451,325,72.06%
2,42,287,251,87.46%
2,43,683,554,81.11%
2,44,438,324,73.97%
2,45,847,550,64.94%
2,46,689,533,77.36%
2,47,537,343,63.87%
2,48,490,325,66.33%
2,49,601,430,71.55%
2,50,516,386,74.81%
2,51,555,419,75.50%
2,52,909,653,71.84%
2,53,880,686,77.95%
2,54,795,698,87.80%
2,55,350,301,86.00%
2,56,568,401,70.60%
3,1,585,432,73.85%
3,2,618,506,81.88%
3,3,685,589,85.99%
3,4,459,333,72.55%
3,5,551,361,65.52%
3,6,627,403,64.27%
3,7,555,418,75.32%
3,8,728,546,75.00%
3,9,505,396,78.42%
3,10,313,202,64.54%
3,11,603,458,75.95%
3,12,595,424,71.26%
3,13,488,262,53.69%
3,14,346,267,77.17%
3,15,741,512,69.10%
3,16,439,330,75.17%
3,17,356,265,74.44%
3,18,347,230,66.28%
3,19,290,140,48.28%
3,20,432,351,81.25%
3,21,395,264,66.84%
3,22,340,246,72.35%
3,23,659,485,73.60%
3,24,716,555,77.51%
3,25,474,335,70.68%
3,26,251,187,74.50%
3,27,649,428,65.95%
3,28,1088,979,89.98%
3,29,398,374,93.97%
3,30,442,318,71.95%
3,31,707,580,82.04%
3,32,494,397,80.36%
3,33,823,600,72.90%
3,34,413,334,80.87%
3,35,564,444,78.72%
