election_year,GEOID,median_hh_income,pct_college,pct_black,pct_hispanic,pct_renter,vap,pct_18_29
2024,17031062300,250001,0.9377593360995852,0.0156641604010025,0.093984962406015,0.4262295081967213,1199,0.244360902255639
2024,17031250600,0,0.2079914377452729,0.78904039104708,0.2058142526369951,0.17420814479638,2987,0.0931309493182402
2024,17031260300,0,0.04,0.8446466060181945,0.1301609517144856,0.6853281853281853,921,0.1777466759972008
2024,17031260400,0,0.0462232243517474,0.828590337524818,0.1588352084712111,0.7699619771863118,1094,0.1608206485771012
2024,17031283100,0,0.5769421078673924,0.191796875,0.246484375,0.7668252889191026,2418,0.415625
2024,17031291200,0,0.2053200332502078,0.9303370786516854,0.0485393258426966,0.7293956043956044,1525,0.2417977528089887
2024,17031351400,0,0.2355371900826446,0.6712328767123288,0.0850757029560201,0.9132176234979972,1178,0.1838500360490266
2024,17031381700,0,,,,,0,
2024,17031390300,0,0.2828485456369107,0.8838403792967207,0.0256815487949427,0.8256944444444444,2098,0.1651521137890162
2024,17031420100,0,0.1476833976833977,0.9727463312368972,0.0,0.9580152671755724,1218,0.1879804332634521
2024,17031570200,0,0.2123655913978494,0.0,0.6726669824727617,0.4223300970873786,1659,0.1155850307910942
2024,17031611200,0,0.170625,0.245552977571539,0.6991492652745553,0.5974842767295597,1850,0.1643464810518174
2024,17031611700,0,0.02360346184107,0.1462125660598943,0.8344098649442161,0.8025,1379,0.1585437463300058
2024,17031671400,0,0.0632447296058661,0.4340369393139842,0.3891820580474934,0.2533081285444234,1221,0.1688654353562005
2024,17031800300,250001,0.8592941176470589,0.0,0.0280153347095252,0.0432432432432432,2246,0.0513122972574461
2024,17031800400,250001,0.9008547008547008,0.0,0.0702816530665964,0.0853754940711462,2428,0.0402737562516451
2024,17031800500,250001,0.8475100525827405,0.007788753799392,0.0144376899696048,0.1018466703973139,3456,0.0587006079027355
2024,17031800600,250001,0.9116379310344828,0.0016522098306484,0.0458488228004956,0.0218579234972677,1513,0.0512185047501032
2024,17031800700,250001,0.8462035541195476,0.0028089887640449,0.0435393258426966,0.0708016383850204,3247,0.0497592295345104
2024,17031806005,0,0.3498077979132344,0.0521346469622331,0.3304597701149425,0.3853211009174312,1984,0.111247947454844
2024,17031820000,250001,0.76,0.0,0.0443187175860443,0.0991124260355029,1426,0.073078736445073
2024,17031829000,0,0.073170731707317,0.9161528976572132,0.0838471023427866,0.8134110787172012,549,0.1763255240443896
2024,17031831400,0,0.1895456765999023,0.4170581857607517,0.3075533068305023,0.7231985940246046,2178,0.0556559450668594
2024,17031834500,0,0.1898608349900596,1.0,0.0,0.8051001821493625,1218,0.1775990099009901
2024,17031836900,0,0.3107394366197183,0.8395231545162769,0.1215038972948188,0.6592,1319,0.1549747822099954
2024,17031838000,0,0.3646299056135121,0.6265884652981427,0.1371782339524275,0.813847158719791,2183,0.2140762463343108
2024,17031980000,0,,,,,0,
2024,17031980100,0,,,,,0,
2024,17031990000,0,,,,,0,
2024,17031823705,83621,0.3387781770663182,0.0649627263045793,0.1294994675186368,0.3020477815699658,3476,0.1324813631522896
2024,17031110200,76563,0.2929553264604811,0.0853361198188784,0.3497039359108325,0.5138081395348837,2490,0.1236502960640891
2024,17031071700,202500,0.889261744966443,0.0489130434782608,0.0102657004830917,0.4324712643678161,1271,0.1938405797101449
2024,17031817500,49985,0.1897040940413457,0.4852789256198347,0.302944214876033,0.6350822239624119,2897,0.1379132231404958
2024,17031817900,61250,0.1638685268384961,0.6325124849319786,0.2271396590322025,0.429957805907173,4547,0.137248148785948
2024,17031826901,24665,0.1172227231740306,0.7833026396562308,0.1092694904849601,0.463519313304721,1250,0.1356660527931246
2024,17031020301,78385,0.5346020761245674,0.0231016472478907,0.0767376456408196,0.2702960840496657,3675,0.075532342306147
2024,17031160300,68887,0.5586805555555555,0.0541070927950658,0.1937202130641996,0.5171503957783641,2904,0.1110176619007569
2024,17031812900,141750,0.7887931034482759,0.1912452188695282,0.1085847853803654,0.306499701848539,3335,0.1030599235019124
2024,17031826303,85357,0.2623169107856192,0.9550984936268828,0.0136152954808806,0.1291866028708134,2632,0.149478563151796
2024,17031050700,135653,0.8733850129198967,0.010204081632653,0.1170068027210884,0.5049088359046283,1226,0.2585034013605442
2024,17031824113,131023,0.5047064096817571,0.0363901018922852,0.0732654051431344,0.0336391437308868,4871,0.0897622513343037
2024,17031070700,143955,0.747653429602888,0.030102983892263,0.1367837338262477,0.4707446808510638,2981,0.1671507789807235
2024,17031804607,118025,0.5049255921190526,0.0333628579864186,0.101269560082669,0.2504091653027823,5156,0.0792736935341009
2024,17031805112,104188,0.3572679509632224,0.046540490226497,0.1241079739373254,0.1704238052299369,2604,0.1331058020477815
2024,17031812302,158864,0.6792746113989637,0.1396379756187661,0.0860731437015145,0.196461824953445,2064,0.078684891023273
2024,17031828601,104002,0.4874623871614844,0.2728148326510956,0.0972790753672044,0.073416222616933,3219,0.108355405730797
2024,17031060800,90174,0.7464324917672887,0.0897838536855717,0.1383705893220025,0.5437534397358282,5122,0.2490301126916682
2024,17031813100,116250,0.6547241597970831,0.1912593984962406,0.1160714285714285,0.3130765056972328,3409,0.1285244360902255
2024,17031200300,48977,0.3176733780760626,0.0495156081808396,0.8191603875134553,0.6825613079019074,1450,0.1533907427341227
2024,17031280100,146383,0.9130928713433684,0.052182898475846,0.0443037974683544,0.732316965077114,7500,0.3412554895375871
2024,17031812400,238472,0.900994575045208,0.0473319264395538,0.0391920410009044,0.1022026431718061,2339,0.0599939704552306
