Registered Voters,Ballots Cast,Turnout,
"1,497,292","1,105,998",73.87%,
,,,
Ward 1,,,
Precinct,Registered Voters,Ballots Cast,Turnout
39,508,383,75.39%
40,513,444,86.55%
41,662,449,67.82%
42,437,332,75.97%
43,637,486,76.30%
44,480,389,81.04%
45,659,499,75.72%
46,498,413,82.93%
47,561,448,79.86%
48,477,403,84.49%
49,528,462,87.50%
50,437,302,69.11%
51,420,331,78.81%
52,580,467,80.52%
53,359,263,73.26%
54,627,480,76.56%
55,527,411,77.99%
56,512,375,73.24%
Total,"29,004","22,320",76.95%
,,,
Ward 24,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,751,520,69.24%
2,692,370,53.47%
3,605,395,65.29%
4,618,394,63.75%
5,573,362,63.18%
6,727,474,65.20%
7,568,392,69.01%
8,515,371,72.04%
9,637,403,63.27%
10,514,322,62.65%
11,463,289,62.42%
12,574,434,75.61%
13,625,388,62.08%
14,923,581,62.95%
15,555,347,62.52%
16,529,289,54.63%
17,632,371,58.70%
18,429,291,67.83%
19,393,292,74.30%
20,540,326,60.37%
21,532,273,51.32%
22,564,434,76.95%
23,574,345,60.10%
24,456,268,58.77%
25,627,462,73.68%
26,732,486,66.39%
27,389,222,57.07%
28,609,481,78.98%
29,733,460,62.76%
30,605,383,63.31%
31,599,391,65.28%
32,572,357,62.41%
33,467,290,62.10%
34,668,406,60.78%
35,748,556,74.33%
36,538,343,63.75%
37,604,383,63.41%
38,579,414,71.50%
39,566,396,69.96%
40,675,447,66.22%
41,552,358,64.86%
42,443,306,69.07%
43,829,535,64.54%
44,737,465,63.09%
45,496,349,70.36%
46,702,441,62.82%
47,496,348,70.16%
48,302,202,66.89%
49,843,584,69.28%
50,940,582,61.91%
51,858,549,63.99%
52,532,341,64.10%
53,717,378,52.72%
54,515,403,78.25%
55,693,414,59.74%
56,651,466,71.58%
Total,"34,006","22,129",65.07%
,,,
Ward 25,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,598,403,67.39%
2,1000,589,58.90%
3,681,543,79.74%
4,791,557,70.42%
5,710,416,58.59%
6,558,365,65.41%
7,758,419,55.28%
8,753,453,60.16%
9,1013,615,60.71%
10,417,272,65.23%
11,895,525,58.66%
12,754,497,65.92%
13,885,494,55.82%
14,951,399,41.96%
15,752,417,55.45%
16,490,315,64.29%
17,1064,703,66.07%
18,1188,685,57.66%
19,991,542,54.69%
20,858,485,56.53%
21,459,356,77.56%
22,435,267,61.38%
23,814,525,64.50%
24,1053,626,59.45%
25,737,464,62.96%
26,578,411,71.11%
27,554,393,70.94%
28,693,510,73.59%
29,1384,1099,79.41%
30,823,477,57.96%
31,444,324,72.97%
Total,"24,081","15,146",62.90%
,,,
Ward 26,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,384,279,72.66%
2,471,335,71.13%
3,471,298,63.27%
4,321,230,71.65%
5,514,355,69.07%
6,354,209,59.04%
7,384,257,66.93%
8,371,249,67.12%
9,360,230,63.89%
10,318,215,67.61%
11,383,252,65.80%
12,332,234,70.48%
13,330,252,76.36%
14,415,249,60.00%
15,511,289,56.56%
16,345,210,60.87%
17,333,206,61.86%
18,350,207,59.14%
19,648,483,74.54%
20,634,431,67.98%
21,623,386,61.96%
22,463,260,56.16%
23,423,246,58.16%
24,423,284,67.14%
25,194,124,63.92%
26,366,235,64.21%
27,411,287,69.83%
28,420,280,66.67%
29,502,320,63.75%
30,443,306,69.07%
31,443,273,61.63%
32,496,383,77.22%
33,247,157,63.56%
34,387,325,83.98%
35,504,355,70.44%
36,416,266,63.94%
37,293,194,66.21%
38,461,293,63.56%
39,455,286,62.86%
40,294,191,64.97%
41,381,255,66.93%
42,362,294,81.22%
43,347,231,66.57%
44,266,176,66.17%
45,494,358,72.47%
46,598,428,71.57%
47,295,193,65.42%
48,539,360,66.79%
49,341,232,68.04%
50,326,226,69.33%
51,370,301,81.35%
52,260,153,58.85%
53,395,273,69.11%
54,431,251,58.24%
55,314,186,59.24%
56,474,304,64.14%
57,379,249,65.70%
58,388,237,61.08%
59,515,291,56.50%
60,431,287,66.59%
61,312,190,60.90%
62,405,299,73.83%
63,203,127,62.56%
Total,"25,319","16,822",66.44%
,,,
Ward 27,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,976,849,86.99%
2,634,363,57.26%
3,613,382,62.32%
4,463,339,73.22%
5,286,240,83.92%
6,360,259,71.94%
7,742,533,71.83%
8,627,398,63.48%
9,603,460,76.29%
10,659,554,84.07%
11,915,575,62.84%
12,778,660,84.83%
13,482,411,85.27%
14,827,592,71.58%
15,390,265,67.95%
16,276,231,83.70%
17,691,589,85.24%
18,674,455,67.51%
19,602,422,70.10%
20,708,649,91.67%
21,338,327,96.75%
22,658,416,63.22%
23,129,82,63.57%
24,474,375,79.11%
25,378,276,73.02%
26,426,304,71.36%
27,584,432,73.97%
28,594,493,83.00%
29,531,332,62.52%
30,326,237,72.70%
31,414,329,79.47%
32,571,374,65.50%
33,495,364,73.54%
34,454,368,81.06%
35,579,443,76.51%
36,489,342,69.94%
37,510,426,83.53%
38,557,389,69.84%
39,396,304,76.77%
40,478,353,73.85%
41,788,543,68.91%
42,465,394,84.73%
43,285,224,78.60%
44,538,353,65.61%
45,420,320,76.19%
46,421,375,89.07%
47,429,312,72.73%
48,565,432,76.46%
49,595,410,68.91%
50,674,530,78.64%
51,222,188,84.68%
52,487,341,70.02%
53,476,328,68.91%
54,847,668,78.87%
55,432,380,87.96%
56,498,375,75.30%
57,543,420,77.35%
58,287,193,67.25%
59,724,471,65.06%
Total,"31,383","23,449",74.72%
,,,
Ward 28,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,585,431,73.68%
2,786,506,64.38%
3,451,363,80.49%
4,695,429,61.73%
5,553,368,66.55%
6,533,324,60.79%
7,582,340,58.42%
8,514,380,73.93%
9,513,307,59.84%
10,136,97,71.32%
11,507,332,65.48%
12,465,348,74.84%
13,405,312,77.04%
14,420,291,69.29%
15,506,340,67.19%
16,488,364,74.59%
17,456,286,62.72%
18,747,501,67.07%
19,621,454,73.11%
20,535,395,73.83%
21,661,482,72.92%
22,509,333,65.42%
23,610,397,65.08%
24,500,313,62.60%
25,458,296,64.63%
26,540,370,68.52%
27,643,473,73.56%
28,386,253,65.54%
29,554,352,63.54%
30,415,302,72.77%
31,539,369,68.46%
