Registered Voters,Ballots Cast,Turnout,
"1,570,529","1,115,664",71.04%,
,,,
Ward 1,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,894,637,71.25%
2,837,601,71.80%
3,1001,749,74.83%
4,921,721,78.28%
5,939,715,76.14%
6,845,648,76.69%
7,556,455,81.83%
8,795,622,78.24%
9,658,551,83.74%
10,985,798,81.02%
11,919,716,77.91%
12,1042,748,71.79%
13,411,286,69.59%
14,855,660,77.19%
15,799,591,73.97%
16,729,606,83.13%
17,768,558,72.66%
18,936,674,72.01%
19,998,795,79.66%
20,697,507,72.74%
21,972,770,79.22%
22,588,411,69.90%
23,1103,837,75.88%
24,913,579,63.42%
25,864,604,69.91%
26,706,441,62.46%
27,919,673,73.23%
28,331,227,68.58%
29,794,630,79.35%
30,990,727,73.43%
31,910,647,71.10%
32,823,629,76.43%
33,972,719,73.97%
34,716,561,78.35%
35,1009,810,80.28%
36,884,688,77.83%
37,845,655,77.51%
38,841,660,78.48%
39,807,563,69.76%
40,875,650,74.29%
41,443,347,78.33%
42,251,192,76.49%
43,568,425,74.82%
44,677,533,78.73%
Total,"35,386","26,616",75.22%
,,,
Ward 2,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,979,716,73.14%
2,653,533,81.62%
3,914,781,85.45%
4,825,602,72.97%
5,996,793,79.62%
6,910,657,72.20%
7,960,651,67.81%
8,1085,801,73.82%
9,776,623,80.28%
10,715,597,83.50%
11,797,673,84.44%
12,789,618,78.33%
13,704,616,87.50%
14,907,688,75.85%
15,870,651,74.83%
16,868,622,71.66%
17,1001,745,74.43%
18,767,670,87.35%
19,576,488,84.72%
20,1058,786,74.29%
21,878,655,74.60%
22,827,715,86.46%
23,566,462,81.63%
24,772,647,83.81%
25,909,762,83.83%
26,806,615,76.30%
27,752,666,88.56%
28,912,770,84.43%
29,886,745,84.09%
30,720,581,80.69%
31,995,831,83.52%
32,739,622,84.17%
33,1121,980,87.42%
34,631,545,86.37%
35,1096,909,82.94%
36,649,562,86.59%
37,673,590,87.67%
38,725,645,88.97%
39,654,495,75.69%
40,985,826,83.86%
41,1032,744,72.09%
42,923,789,85.48%
43,1098,951,86.61%
44,493,442,89.66%
45,870,660,75.86%
46,534,421,78.84%
Total,"38,396","30,941",80.58%
,,,
Ward 3,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1081,743,68.73%
2,808,684,84.65%
3,838,615,73.39%
4,880,640,72.73%
5,710,463,65.21%
6,942,773,82.06%
7,590,430,72.88%
8,884,627,70.93%
9,841,602,71.58%
10,645,363,56.28%
11,855,626,73.22%
12,756,567,75.00%
13,862,742,86.08%
14,876,690,78.77%
15,878,651,74.15%
16,900,602,66.89%
17,997,784,78.64%
18,1306,912,69.83%
19,871,749,85.99%
20,923,646,69.99%
21,843,710,84.22%
22,1097,888,80.95%
23,842,574,68.17%
24,832,583,70.07%
25,1255,1040,82.87%
26,866,737,85.10%
27,976,802,82.17%
28,637,384,60.28%
29,1081,725,67.07%
30,800,579,72.38%
31,966,775,80.23%
32,927,781,84.25%
33,955,800,83.77%
34,1010,822,81.39%
35,610,316,51.80%
36,665,404,60.75%
37,841,573,68.13%
38,658,502,76.29%
39,1056,874,82.77%
40,909,714,78.55%
41,800,535,66.88%
Total,"36,069","27,027",74.93%
,,,
Ward 4,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,949,797,83.98%
2,948,800,84.39%
3,826,607,73.49%
4,1129,838,74.22%
5,786,597,75.95%
6,934,734,78.59%
7,942,725,76.96%
8,891,688,77.22%
9,815,647,79.39%
10,920,687,74.67%
11,932,700,75.11%
12,955,682,71.41%
