Registered Voters,Ballots Cast,Turnout,
13,898,744,82.85%
14,832,641,77.04%
15,1002,760,75.85%
16,1042,945,90.69%
17,944,862,91.31%
18,827,573,69.29%
19,933,633,67.85%
20,708,587,82.91%
21,1046,895,85.56%
22,826,631,76.39%
23,999,818,81.88%
24,834,577,69.18%
25,846,744,87.94%
26,834,626,75.06%
27,928,738,79.53%
28,714,581,81.37%
29,884,639,72.29%
30,1211,879,72.58%
31,700,602,86.00%
32,931,672,72.18%
33,879,683,77.70%
34,758,572,75.46%
35,988,731,73.99%
36,901,683,75.80%
37,1212,1041,85.89%
38,793,629,79.32%
Total,"34,497","26,988",78.23%
,,,
Ward 5,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,845,570,67.46%
2,811,518,63.87%
3,772,658,85.23%
4,925,732,79.14%
5,810,587,72.47%
6,763,513,67.23%
7,701,581,82.88%
8,724,632,87.29%
9,854,691,80.91%
10,789,550,69.71%
11,780,629,80.64%
12,828,491,59.30%
13,787,525,66.71%
14,628,468,74.52%
15,734,588,80.11%
16,914,628,68.71%
17,831,570,68.59%
18,680,569,83.68%
19,706,586,83.00%
20,787,658,83.61%
21,776,644,82.99%
22,726,648,89.26%
23,1213,1049,86.48%
24,830,670,80.72%
25,766,543,70.89%
26,812,634,78.08%
27,785,871,110.96%
28,796,609,76.51%
29,926,658,71.06%
30,800,502,62.75%
31,722,506,70.08%
32,780,624,80.00%
33,845,624,73.85%
34,869,783,90.10%
35,739,619,83.76%
36,705,403,57.16%
37,737,623,84.53%
38,823,599,72.78%
39,624,506,81.09%
40,634,477,75.24%
41,354,299,84.46%
Total,"31,931","24,635",77.15%
,,,
Ward 6,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,702,520,74.07%
2,704,518,73.58%
3,708,521,73.59%
4,673,449,66.72%
5,741,410,55.33%
6,685,475,69.34%
7,751,515,68.58%
8,687,508,73.94%
9,860,589,68.49%
10,681,401,58.88%
11,786,493,62.72%
12,807,467,57.87%
13,599,396,66.11%
14,792,517,65.28%
15,965,545,56.48%
16,697,495,71.02%
17,742,453,61.05%
18,693,436,62.91%
19,729,495,67.90%
20,705,388,55.04%
21,634,367,57.89%
22,686,404,58.89%
23,686,366,53.35%
24,582,322,55.33%
25,639,348,54.46%
26,781,466,59.67%
27,681,371,54.48%
28,675,331,49.04%
29,685,508,74.16%
30,783,497,63.47%
31,684,489,71.49%
32,714,485,67.93%
33,715,512,71.61%
34,727,531,73.04%
35,669,461,68.91%
36,688,524,76.16%
37,672,481,71.58%
38,710,509,71.69%
39,788,492,62.44%
40,679,449,66.13%
41,735,508,69.12%
42,810,563,69.51%
43,694,463,66.71%
44,815,568,69.69%
45,742,567,76.42%
46,553,364,65.82%
47,619,430,69.47%
48,772,517,66.97%
Total,"34,325","22,484",65.50%
,,,
Ward 7,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,763,502,65.79%
2,898,546,60.80%
3,637,463,72.68%
4,684,455,66.52%
5,716,441,61.59%
6,784,632,80.61%
7,816,550,67.40%
8,700,418,59.71%
9,1067,798,74.79%
10,717,513,71.55%
11,882,609,69.05%
12,797,521,65.37%
13,529,330,62.38%
14,842,555,65.91%
15,710,484,68.17%
16,796,461,57.91%
17,674,444,65.88%
18,770,488,63.38%
19,733,473,64.53%
20,680,395,58.09%
21,728,434,59.62%
22,749,447,59.68%
23,650,456,70.15%
24,735,441,60.00%
25,827,487,58.89%
26,567,380,67.02%
27,652,412,63.19%
28,637,391,61.38%
29,661,416,62.93%
30,787,426,54.13%
31,572,331,57.87%
32,785,602,76.69%
33,779,551,70.73%
34,790,532,67.34%
35,804,492,61.19%
36,786,561,71.37%
37,725,503,69.38%
38,696,451,64.80%
39,679,429,63.18%
40,662,433,65.41%
41,737,469,63.64%
42,685,447,65.26%
43,720,478,66.39%
44,732,447,61.07%
45,837,538,64.28%
46,289,202,69.90%
Total,"33,466","21,834",65.24%
,,,
Ward 8,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,705,427,60.57%
2,857,515,60.09%
3,686,494,72.01%
4,656,505,76.98%
5,682,496,72.73%
6,779,494,63.41%
7,767,562,73.27%
8,651,445,68.36%
9,469,335,71.43%
10,724,557,76.93%
11,652,455,69.79%
12,619,449,72.54%
13,892,582,65.25%
14,752,491,65.29%
15,731,509,69.63%
16,296,188,63.51%
17,545,398,73.03%
18,976,569,58.30%
19,753,504,66.93%
20,760,523,68.82%
21,941,660,70.14%
22,662,456,68.88%
23,700,449,64.14%
24,393,303,77.10%
25,771,520,67.44%
26,792,526,66.41%
27,718,517,72.01%
28,732,511,69.81%
29,868,578,66.59%
30,796,552,69.35%
31,597,392,65.66%
32,578,417,72.15%
33,717,492,68.62%
34,675,444,65.78%
35,709,496,69.96%
36,743,520,69.99%
37,510,389,76.27%
38,542,332,61.25%
39,739,509,68.88%
40,565,392,69.38%
41,741,544,73.41%
42,898,674,75.06%
43,440,285,64.77%
44,526,347,65.97%
45,805,549,68.20%
46,600,424,70.67%
47,629,415,65.98%
48,736,495,67.26%
49,682,454,66.57%
50,697,492,70.59%
51,704,530,75.28%
52,853,610,71.51%
53,397,278,70.03%
54,740,497,67.16%
55,534,386,72.28%
56,710,511,71.97%
Total,"38,392","26,444",68.88%
,,,
Ward 9,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,785,502,63.95%
2,683,452,66.18%
3,823,500,60.75%
4,626,401,64.06%
5,689,425,61.68%
6,708,472,66.67%
7,687,397,57.79%
8,872,549,62.96%
9,765,539,70.46%
10,689,413,59.94%
11,639,397,62.13%
12,746,532,71.31%
13,715,489,68.39%
14,793,569,71.75%
15,1066,623,58.44%
16,676,422,62.43%
17,695,462,66.47%
18,649,367,56.55%
19,700,455,65.00%
20,744,484,65.05%
21,694,441,63.54%
22,682,493,72.29%
23,729,509,69.82%
24,690,473,68.55%
25,698,481,68.91%
26,1015,679,66.90%
27,710,466,65.63%
28,687,367,53.42%
29,751,516,68.71%
30,665,420,63.16%
31,735,413,56.19%
32,698,473,67.77%
33,719,417,58.00%
34,763,454,59.50%
35,651,454,69.74%
36,715,443,61.96%
37,843,608,72.12%
38,739,495,66.98%
39,758,512,67.55%
40,773,493,63.78%
41,619,402,64.94%
42,698,466,66.76%
43,855,515,60.23%
44,597,402,67.34%
45,687,454,66.08%
46,786,523,66.54%
47,712,498,69.94%
48,726,507,69.83%
49,724,504,69.61%
50,811,587,72.38%
51,648,462,71.30%
Total,"37,328","24,377",65.30%
,,,
Ward 10,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,683,457,66.91%
2,700,456,65.14%
3,772,466,60.36%
4,814,470,57.74%
5,671,408,60.80%
6,677,428,63.22%
7,639,373,58.37%
8,651,411,63.13%
9,721,461,63.94%
10,731,502,68.67%
11,1012,608,60.08%
12,552,353,63.95%
13,895,549,61.34%
14,955,628,65.76%
15,1356,910,67.11%
16,678,392,57.82%
17,909,612,67.33%
18,645,345,53.49%
19,786,518,65.90%
20,792,507,64.02%
21,859,505,58.79%
22,566,312,55.12%
23,741,461,62.21%
24,715,499,69.79%
25,275,165,60.00%
26,818,414,50.61%
27,1045,545,52.15%
28,885,561,63.39%
29,759,466,61.40%
30,836,480,57.42%
31,739,386,52.23%
32,793,479,60.40%
33,624,365,58.49%
34,697,378,54.23%
35,776,517,66.62%
36,202,117,57.92%
Total,"26,969","16,504",61.20%
,,,
Ward 11,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,874,584,66.82%
2,1040,90,8.65%
3,717,519,72.38%
4,817,520,63.65%
5,1153,730,63.31%
6,1030,802,77.86%
7,1130,961,85.04%
8,882,540,61.22%
9,879,496,56.43%
10,945,530,56.08%
11,915,604,66.01%
12,1043,729,69.89%
13,1018,672,66.01%
14,587,364,62.01%
15,397,230,57.93%
16,735,440,59.86%
17,883,646,73.16%
18,813,477,58.67%
19,1040,714,68.65%
20,614,391,63.68%
21,914,677,74.07%
22,1075,699,65.02%
23,436,322,73.85%
24,781,602,77.08%
25,816,628,76.96%
26,894,634,70.92%
27,487,245,50.31%
28,474,271,57.17%
29,860,631,73.37%
30,642,333,51.87%
31,780,546,70.00%
32,377,278,73.74%
33,825,656,79.52%
34,312,229,73.40%
35,243,173,71.19%
36,468,267,57.05%
37,364,208,57.14%
38,422,274,64.93%
Total,"28,682","18,712",65.24%
,,,
Ward 12,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,745,516,69.26%
2,756,428,56.61%
3,880,626,71.14%
4,770,515,66.88%
5,795,461,57.99%
6,909,521,57.32%
7,919,518,56.37%
8,906,530,58.50%
9,728,447,61.40%
10,964,576,59.75%
11,868,527,60.71%
12,899,539,59.96%
13,923,545,59.05%
14,920,483,52.50%
15,887,493,55.58%
16,906,510,56.29%
17,954,575,60.27%
18,899,468,52.06%
19,822,507,61.68%
20,999,621,62.16%
21,858,549,63.99%
22,993,497,50.05%
23,803,520,64.76%
Total,"20,103","11,972",59.55%
,,,
Ward 13,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,472,366,77.54%
2,462,362,78.35%
3,501,358,71.46%
4,611,469,76.76%
5,696,513,73.71%
6,495,401,81.01%
7,520,364,70.00%
8,443,347,78.33%
9,631,453,71.79%
10,484,369,76.24%
11,583,445,76.33%
12,602,395,65.61%
13,527,416,78.94%
14,601,441,73.38%
15,858,651,75.87%
16,448,334,74.55%
17,555,407,73.33%
18,493,364,73.83%
19,754,548,72.68%
20,384,284,73.96%
21,618,481,77.83%
22,600,457,76.17%
23,506,374,73.91%
24,544,410,75.37%
25,629,453,72.02%
26,630,449,71.27%
27,544,397,72.98%
28,490,343,70.00%
29,477,383,80.29%
30,434,342,78.80%
31,656,459,69.97%
32,513,367,71.54%
33,504,393,77.98%
34,617,490,79.42%
35,486,380,78.19%
36,378,273,72.22%
37,645,484,75.04%
38,485,374,77.11%
39,558,437,78.32%
40,469,347,73.99%
41,661,508,76.85%
42,561,411,73.26%
43,602,442,73.42%
44,657,470,71.54%
45,654,476,72.78%
46,735,545,74.15%
47,685,521,76.06%
48,482,385,79.88%
Total,"26,940","20,138",74.75%
,,,
Ward 14,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,692,522,75.43%
2,925,635,68.65%
3,778,550,70.69%
4,634,463,73.03%
5,1030,707,68.64%
6,360,254,70.56%
7,903,592,65.56%
8,867,583,67.24%
9,772,551,71.37%
10,548,337,61.50%
11,424,304,71.70%
12,724,509,70.30%
13,575,399,69.39%
14,679,481,70.84%
15,776,564,72.68%
16,602,360,59.80%
17,619,411,66.40%
18,291,195,67.01%
19,672,483,71.88%
20,555,348,62.70%
21,686,462,67.35%
22,927,626,67.53%
23,569,380,66.78%
24,727,547,75.24%
25,489,310,63.39%
26,561,370,65.95%
27,714,500,70.03%
28,582,386,66.32%
29,598,432,72.24%
30,440,285,64.77%
31,392,280,71.43%
Total,"20,111","13,826",68.75%
,,,
Ward 15,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,857,491,57.29%
2,642,347,54.05%
3,662,355,53.63%
4,879,483,54.95%
5,910,478,52.53%
6,923,534,57.85%
7,751,406,54.06%
8,784,432,55.10%
9,1024,617,60.25%
10,1022,673,65.85%
11,970,586,60.41%
12,897,574,63.99%
13,872,478,54.82%
14,867,449,51.79%
15,817,447,54.71%
16,882,532,60.32%
17,660,379,57.42%
18,727,393,54.06%
19,825,435,52.73%
20,736,332,45.11%
21,616,326,52.92%
22,753,428,56.84%
23,783,420,53.64%
24,726,408,56.20%
Total,"19,585","11,003",56.18%
,,,
Ward 16,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,889,554,62.32%
2,808,461,57.05%
3,695,395,56.83%
4,745,429,57.58%
5,722,366,50.69%
6,736,422,57.34%
7,729,413,56.65%
8,619,339,54.77%
9,776,468,60.31%
10,739,415,56.16%
11,767,446,58.15%
12,747,386,51.67%
13,806,502,62.28%
14,693,411,59.31%
15,794,456,57.43%
16,708,419,59.18%
17,866,524,60.51%
18,733,457,62.35%
19,729,413,56.65%
20,694,382,55.04%
21,708,386,54.52%
22,787,417,52.99%
23,866,484,55.89%
24,452,266,58.85%
25,747,473,63.32%
26,677,386,57.02%
27,673,420,62.41%
28,743,402,54.10%
29,774,418,54.01%
30,686,405,59.04%
31,720,434,60.28%
32,833,513,61.58%
33,722,408,56.51%
34,660,401,60.76%
35,882,522,59.18%
36,610,331,54.26%
Total,"26,535","15,324",57.75%
,,,
Ward 17,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,716,455,63.55%
2,795,475,59.75%
3,795,517,65.03%
4,872,635,72.82%
5,676,400,59.17%
6,814,474,58.23%
7,795,459,57.74%
8,809,486,60.07%
9,581,385,66.27%
10,932,632,67.81%
11,681,429,63.00%
12,988,664,67.21%
13,733,463,63.17%
14,810,535,66.05%
15,862,573,66.47%
16,790,499,63.16%
17,817,462,56.55%
18,733,492,67.12%
19,632,340,53.80%
20,819,564,68.86%
21,768,523,68.10%
22,745,444,59.60%
23,596,330,55.37%
24,783,544,69.48%
25,716,397,55.45%
26,883,570,64.55%
27,787,484,61.50%
28,681,408,59.91%
29,731,493,67.44%
30,698,438,62.75%
31,663,352,53.09%
32,741,432,58.30%
33,690,366,53.04%
34,696,381,54.74%
35,712,421,59.13%
36,751,497,66.18%
37,706,421,59.63%
38,890,540,60.67%
39,712,493,69.24%
40,730,476,65.21%
41,775,545,70.32%
Total,"31,104","19,494",62.67%
,,,
Ward 18,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,657,453,68.95%
2,753,486,64.54%
3,618,424,68.61%
4,679,488,71.87%
5,576,362,62.85%
6,582,433,74.40%
7,745,517,69.40%
8,656,470,71.65%
9,609,451,74.06%
10,771,572,74.19%
11,628,407,64.81%
12,633,463,73.14%
13,718,506,70.47%
14,691,478,69.18%
15,808,561,69.43%
16,658,444,67.48%
17,695,488,70.22%
18,622,385,61.90%
19,672,462,68.75%
20,586,405,69.11%
21,746,560,75.07%
22,703,509,72.40%
23,687,458,66.67%
24,713,480,67.32%
25,704,527,74.86%
26,702,531,75.64%
27,622,395,63.50%
28,632,471,74.53%
29,729,512,70.23%
30,786,559,71.12%
31,679,494,72.75%
32,703,491,69.84%
33,589,380,64.52%
34,704,534,75.85%
35,670,497,74.18%
36,712,509,71.49%
37,721,507,70.32%
38,648,426,65.74%
39,689,430,62.41%
40,726,555,76.45%
41,709,530,74.75%
42,698,456,65.33%
43,587,395,67.29%
44,652,432,66.26%
45,738,486,65.85%
46,744,526,70.70%
47,604,400,66.23%
48,604,396,65.56%
49,581,339,58.35%
50,653,406,62.17%
Total,"33,792","23,446",69.38%
,,,
Ward 19,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,578,463,80.10%
2,791,645,81.54%
3,522,409,78.35%
4,730,590,80.82%
5,637,536,84.14%
6,666,531,79.73%
7,597,488,81.74%
8,755,590,78.15%
9,471,405,85.99%
10,737,602,81.68%
11,674,533,79.08%
12,565,452,80.00%
13,732,602,82.24%
14,746,580,77.75%
15,888,692,77.93%
16,676,542,80.18%
17,568,479,84.33%
18,558,460,82.44%
19,767,638,83.18%
20,626,437,69.81%
21,725,551,76.00%
22,637,536,84.14%
23,639,517,80.91%
24,474,388,81.86%
25,588,491,83.50%
26,636,539,84.75%
27,622,488,78.46%
28,746,579,77.61%
29,737,558,75.71%
30,622,485,77.97%
31,523,465,88.91%
32,576,458,79.51%
33,677,536,79.17%
34,568,481,84.68%
35,549,457,83.24%
36,919,724,78.78%
37,593,482,81.28%
38,576,462,80.21%
39,320,228,71.25%
40,668,545,81.59%
41,634,508,80.13%
42,484,396,81.82%
43,917,706,76.99%
44,740,591,79.86%
45,619,506,81.74%
46,665,530,79.70%
47,871,716,82.20%
48,904,661,73.12%
49,754,598,79.31%
50,553,442,79.93%
51,696,564,81.03%
52,788,607,77.03%
53,588,484,82.31%
54,549,435,79.23%
55,600,473,78.83%
56,611,537,87.89%
57,530,424,80.00%
Total,"37,182","29,822",80.21%
,,,
Ward 20,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,727,546,75.10%
2,455,237,52.09%
3,697,425,60.98%
4,529,271,51.23%
5,920,547,59.46%
6,508,285,56.10%
7,910,560,61.54%
8,720,479,66.53%
9,845,671,79.41%
10,689,440,63.86%
11,939,664,70.71%
12,633,439,69.35%
13,1014,639,63.02%
14,381,284,74.54%
15,986,543,55.07%
16,743,552,74.29%
17,673,343,50.97%
18,674,432,64.09%
19,837,552,65.95%
20,722,457,63.30%
21,761,451,59.26%
22,778,500,64.27%
23,823,619,75.21%
24,673,516,76.67%
25,728,426,58.52%
26,705,535,75.89%
27,504,312,61.90%
28,567,325,57.32%
29,912,595,65.24%
30,445,265,59.55%
31,868,620,71.43%
32,889,533,59.96%
33,559,364,65.12%
34,888,765,86.15%
35,895,542,60.56%
36,362,199,54.97%
37,297,188,63.30%
38,385,222,57.66%
39,100,69,69.00%
Total,"26,741","17,412",65.11%
,,,
Ward 21,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,762,477,62.60%
2,658,412,62.61%
3,779,511,65.60%
4,840,511,60.83%
5,757,533,70.41%
6,674,448,66.47%
7,683,488,71.45%
8,753,531,70.52%
9,726,509,70.11%
10,716,463,64.66%
11,713,472,66.20%
12,702,469,66.81%
13,828,509,61.47%
14,828,552,66.67%
15,720,465,64.58%
16,724,452,62.43%
17,745,466,62.55%
18,817,536,65.61%
19,777,505,64.99%
20,682,482,70.67%
21,693,407,58.73%
22,693,463,66.81%
23,659,446,67.68%
24,715,468,65.45%
25,642,436,67.91%
26,815,542,66.50%
27,728,469,64.42%
28,887,625,70.46%
29,762,540,70.87%
30,682,434,63.64%
31,460,333,72.39%
32,711,474,66.67%
33,729,487,66.80%
34,778,523,67.22%
35,738,495,67.07%
36,718,504,70.19%
37,586,429,73.21%
38,741,521,70.31%
39,604,422,69.87%
40,667,444,66.57%
41,720,460,63.89%
42,786,535,68.07%
43,810,503,62.10%
44,757,476,62.88%
45,722,446,61.77%
46,787,547,69.50%
47,743,497,66.89%
48,726,468,64.46%
49,755,535,70.86%
50,670,411,61.34%
51,724,458,63.26%
52,774,511,66.02%
53,586,384,65.53%
54,678,439,64.75%
Total,"39,130","25,923",66.25%
,,,
Ward 22,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,462,292,63.20%
2,787,562,71.41%
3,1162,680,58.52%
4,726,408,56.20%
5,855,505,59.06%
6,854,481,56.32%
7,588,362,61.56%
8,843,618,73.31%
9,776,454,58.51%
10,1021,684,66.99%
11,828,447,53.99%
12,656,429,65.40%
13,884,485,54.86%
14,879,425,48.35%
15,729,425,58.30%
16,698,424,60.74%
17,932,519,55.69%
18,845,477,56.45%
19,467,288,61.67%
20,837,462,55.20%
21,964,565,58.61%
22,887,444,50.06%
23,939,616,65.60%
24,1023,571,55.82%
25,867,492,56.75%
Total,"20,509","12,115",59.07%
,,,
Ward 23,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,571,451,78.98%
2,610,472,77.38%
3,604,437,72.35%
4,657,501,76.26%
5,678,491,72.42%
6,724,529,73.07%
7,642,457,71.18%
8,747,544,72.82%
9,611,418,68.41%
10,774,554,71.58%
11,762,546,71.65%
12,581,440,75.73%
13,652,415,63.65%
14,552,412,74.64%
15,644,434,67.39%
16,564,422,74.82%
17,625,356,56.96%
18,586,413,70.48%
19,661,420,63.54%
20,596,347,58.22%
21,595,454,76.30%
22,655,459,70.08%
23,588,446,75.85%
24,625,406,64.96%
25,750,481,64.13%
26,677,476,70.31%
27,543,409,75.32%
28,627,453,72.25%
29,536,375,69.96%
30,737,536,72.73%
31,592,393,66.39%
32,679,470,69.22%
33,759,507,66.80%
34,724,465,64.23%
35,492,371,75.41%
36,575,438,76.17%
37,558,415,74.37%
38,547,407,74.41%
39,669,463,69.21%
Total,"24,769","17,483",70.58%
,,,
Ward 24,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,757,424,56.01%
2,890,479,53.82%
3,930,524,56.34%
4,596,386,64.77%
5,494,307,62.15%
6,786,452,57.51%
7,485,281,57.94%
8,463,227,49.03%
9,818,495,60.51%
10,443,226,51.02%
11,984,566,57.52%
12,540,308,57.04%
13,540,306,56.67%
14,839,481,57.33%
15,524,309,58.97%
16,875,513,58.63%
17,629,388,61.69%
18,748,462,61.76%
19,860,550,63.95%
20,625,405,64.80%
21,446,251,56.28%
22,1004,645,64.24%
23,850,483,56.82%
24,1130,651,57.61%
25,777,360,46.33%
26,906,609,67.22%
27,807,486,60.22%
28,598,347,58.03%
29,509,309,60.71%
30,392,264,67.35%
31,893,524,58.68%
32,419,279,66.59%
33,506,290,57.31%
34,797,448,56.21%
35,699,450,64.38%
36,955,557,58.32%
37,514,301,58.56%
38,568,357,62.85%
39,874,525,60.07%
40,836,528,63.16%
41,531,332,62.52%
Total,"28,837","17,085",59.25%
,,,
Ward 25,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,732,485,66.26%
2,857,565,65.93%
3,1002,794,79.24%
4,801,580,72.41%
5,893,592,66.29%
6,711,229,32.21%
7,905,560,61.88%
8,916,625,68.23%
9,945,616,65.19%
10,1073,908,84.62%
11,958,580,60.54%
12,825,526,63.76%
13,960,636,66.25%
14,833,436,52.34%
15,814,512,62.90%
16,1104,867,78.53%
17,902,616,68.29%
18,943,534,56.63%
19,994,620,62.37%
20,826,487,58.96%
21,1166,982,84.22%
22,871,555,63.72%
23,880,629,71.48%
24,961,596,62.02%
25,765,615,80.39%
26,868,532,61.29%
27,1062,810,76.27%
28,861,580,67.36%
29,784,553,70.54%
30,906,562,62.03%
31,1321,1069,80.92%
32,813,506,62.24%
Total,"29,252","19,757",67.54%
,,,
Ward 26,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,702,478,68.09%
2,667,424,63.57%
3,711,520,73.14%
4,633,369,58.29%
5,604,407,67.38%
6,655,383,58.47%
7,544,423,77.76%
8,450,243,54.00%
9,653,406,62.17%
10,622,418,67.20%
11,622,419,67.36%
12,692,485,70.09%
13,480,296,61.67%
14,540,344,63.70%
15,517,292,56.48%
16,506,283,55.93%
17,501,373,74.45%
18,562,362,64.41%
19,487,334,68.58%
20,638,406,63.64%
21,892,569,63.79%
22,517,297,57.45%
23,500,299,59.80%
24,648,433,66.82%
25,611,417,68.25%
26,561,335,59.71%
27,743,474,63.80%
28,732,573,78.28%
29,442,262,59.28%
30,496,340,68.55%
31,384,233,60.68%
32,708,541,76.41%
33,674,441,65.43%
34,661,499,75.49%
35,666,414,62.16%
36,612,443,72.39%
37,725,500,68.97%
38,411,262,63.75%
39,671,475,70.79%
40,482,304,63.07%
41,710,529,74.51%
42,517,352,68.09%
43,484,286,59.09%
44,444,274,61.71%
45,437,243,55.61%
46,444,317,71.40%
47,557,325,58.35%
48,582,426,73.20%
49,489,296,60.53%
Total,"28,586","18,824",65.85%
,,,
Ward 27,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,903,782,86.60%
2,804,620,77.11%
3,615,337,54.80%
4,482,309,64.11%
5,817,400,48.96%
6,734,559,76.16%
7,942,750,79.62%
8,797,472,59.22%
9,353,293,83.00%
10,858,551,64.22%
11,768,644,83.85%
12,499,410,82.16%
13,970,686,70.72%
14,505,332,65.74%
15,650,390,60.00%
16,855,682,79.77%
17,767,551,71.84%
18,671,413,61.55%
19,684,356,52.05%
20,701,508,72.47%
21,692,572,82.66%
22,635,319,50.24%
23,599,403,67.28%
24,801,429,53.56%
25,728,496,68.13%
26,636,408,64.15%
27,971,676,69.62%
28,342,275,80.41%
29,794,441,55.54%
30,438,280,63.93%
31,659,438,66.46%
32,689,453,65.75%
33,778,556,71.47%
34,724,485,66.99%
35,746,596,79.89%
36,600,396,66.00%
37,801,635,79.28%
38,1025,816,79.61%
39,543,353,65.01%
40,951,739,77.71%
41,734,492,67.03%
42,474,382,80.59%
43,682,451,66.13%
44,742,439,59.16%
45,1244,1059,85.13%
46,504,406,80.56%
47,509,405,79.57%
48,1176,908,77.21%
49,666,392,58.86%
50,731,519,71.00%
Total,"35,989","25,264",70.20%
,,,
Ward 28,,,
