Ward,Precinct,Registered Voters,Ballots Cast,Turnout
48,26,613,537,87.60%
48,27,1007,939,93.25%
48,28,961,821,85.43%
48,29,382,354,92.67%
48,30,940,845,89.89%
48,31,941,833,88.52%
48,32,1004,807,80.38%
48,33,415,358,86.27%
48,34,785,651,82.93%
48,35,1100,983,89.36%
49,1,1637,1141,69.70%
49,2,1371,1064,77.61%
49,3,1746,1393,79.78%
49,4,1616,1435,88.80%
49,5,1664,1426,85.70%
49,6,177,177,100.00%
49,7,1821,1462,80.29%
49,8,1884,1588,84.29%
49,9,1912,1460,76.36%
49,10,1158,960,82.90%
49,11,1575,1113,70.67%
49,12,1693,1110,65.56%
49,13,1848,1342,72.62%
49,14,1926,1481,76.90%
49,15,1792,1409,78.63%
49,16,1607,1331,82.83%
49,17,1669,1414,84.72%
50,1,1133,864,76.26%
50,2,1143,803,70.25%
50,3,886,644,72.69%
50,4,1136,709,62.41%
50,5,1538,1053,68.47%
50,6,636,441,69.34%
50,7,1461,1083,74.13%
50,8,1708,975,57.08%
50,9,309,240,77.67%
50,10,1191,736,61.80%
50,11,1255,897,71.47%
50,12,400,288,72.00%
50,13,1448,967,66.78%
50,14,254,210,82.68%
50,15,1432,879,61.38%
50,16,250,183,73.20%
50,17,955,545,57.07%
50,18,170,135,79.41%
50,19,855,483,56.49%
50,20,660,396,60.00%
50,21,1467,880,59.99%
50,22,1702,1111,65.28%
50,23,1525,876,57.44%
50,24,1626,1106,68.02%
50,25,343,209,60.93%
50,26,850,472,55.53%
50,27,263,205,77.95%
50,28,1097,805,73.38%
