Registered Voters,Ballots Cast,Turnout,
"1,584,293","1,160,993",73.28%,
,,,
Ward 1,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1002,827,82.53%
2,858,656,76.46%
3,987,881,89.26%
4,1054,848,80.46%
5,944,801,84.85%
6,899,673,74.86%
7,625,516,82.56%
8,855,704,82.34%
9,673,527,78.31%
10,1118,932,83.36%
11,952,854,89.71%
12,1122,905,80.66%
13,444,365,82.21%
14,823,736,89.43%
15,866,661,76.33%
16,921,793,86.10%
17,838,635,75.78%
18,949,708,74.60%
19,1070,839,78.41%
20,707,546,77.23%
21,1284,1095,85.28%
22,622,495,79.58%
23,1098,923,84.06%
24,982,660,67.21%
25,906,705,77.81%
26,740,492,66.49%
27,985,808,82.03%
28,381,265,69.55%
29,1092,945,86.54%
30,1029,812,78.91%
31,893,678,75.92%
32,842,701,83.25%
33,1051,838,79.73%
34,666,570,85.59%
35,1149,911,79.29%
36,983,840,85.45%
37,889,763,85.83%
38,892,723,81.05%
39,824,618,75.00%
40,878,706,80.41%
41,518,415,80.12%
42,273,234,85.71%
43,576,465,80.73%
44,757,662,87.45%
Total,"38,017","30,731",80.83%
,,,
Ward 2,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1023,855,83.58%
2,616,538,87.34%
3,996,850,85.34%
4,860,753,87.56%
5,1089,890,81.73%
6,899,785,87.32%
7,1291,703,54.45%
8,1194,945,79.15%
9,865,751,86.82%
10,660,555,84.09%
11,864,741,85.76%
12,800,634,79.25%
13,686,600,87.46%
14,897,759,84.62%
15,898,710,79.06%
16,841,710,84.42%
17,982,833,84.83%
18,797,675,84.69%
19,586,493,84.13%
20,1167,1011,86.63%
21,920,777,84.46%
22,899,804,89.43%
23,549,477,86.89%
24,817,696,85.19%
25,942,844,89.60%
26,856,675,78.86%
27,777,662,85.20%
28,954,877,91.93%
29,959,834,86.97%
30,682,618,90.62%
31,930,829,89.14%
32,665,626,94.14%
33,1107,1017,91.87%
34,619,531,85.78%
35,1151,991,86.10%
36,936,836,89.32%
37,671,617,91.95%
38,739,667,90.26%
39,672,509,75.74%
40,1250,1039,83.12%
41,1051,889,84.59%
42,925,820,88.65%
43,1147,1000,87.18%
44,482,432,89.63%
45,1145,866,75.63%
46,510,423,82.94%
Total,"40,366","34,147",84.59%
,,,
Ward 3,,,
Precinct,Registered Voters,Ballots Cast,Turnout
1,1238,848,68.50%
2,820,660,80.49%
3,891,588,65.99%
4,855,673,78.71%
5,631,366,58.00%
6,1067,984,92.22%
7,525,413,78.67%
8,747,513,68.67%
9,935,685,73.26%
10,550,326,59.27%
11,844,668,79.15%
12,706,589,83.43%
13,897,790,88.07%
14,924,778,84.20%
15,863,588,68.13%
16,773,495,64.04%
17,1182,966,81.73%
18,1391,905,65.06%
19,967,842,87.07%
20,912,659,72.26%
21,877,741,84.49%
22,1137,959,84.34%
23,796,550,69.10%
24,805,536,66.58%
25,1474,1235,83.79%
26,870,776,89.20%
27,1078,875,81.17%
28,585,394,67.35%
29,1070,688,64.30%
30,733,539,73.53%
31,933,723,77.49%
32,1342,1106,82.41%
33,998,870,87.17%
34,1235,1044,84.53%
35,1130,325,28.76%
36,573,305,53.23%
37,794,539,67.88%
38,597,454,76.05%
39,1611,1350,83.80%
40,917,693,75.57%
41,754,535,70.95%
Total,"38,027","28,573",75.14%
,,,
